web-scraper-order,web-scraper-start-url,link,link-href,title,Description
"1624079666-596","https://www.suplay.com/","Tournaments","https://www.suplay.com/collections/wrestling-tournament-gear","Wrestling Tournament Gear","Suplay carries the largest selection of wrestling products for tournaments, officials and coaches, wrestling scales, and awards. Proudly serving the wrestling community for over 30 years."
"1624079713-614","https://www.suplay.com/","Mat Accessories","https://www.suplay.com/collections/wrestling-mat-accessories","Wrestling Mat Accessories","From mat underlay carpet to mat paint and mat tape remover Suplay carries a full range of mat accessories to keep your mats in great shape."
"1624079734-622","https://www.suplay.com/","Youth Headgear","https://www.suplay.com/collections/youth-wrestling-headgear","Youth Wrestling Headgear","When it comes to looking after your ears on the mat and in the practice room, Suplay has a range of protective wrestling headgear for first-time wrestlers to the cagey youth veteran. Find great deals from brands such as Morgan, Cliff Keen, Asics and Matman."
"1624079755-628","https://www.suplay.com/","Reversible","https://www.suplay.com/collections/reversible-wrestling-singlets","Reversible Wrestling Singlets","What's blue one minute and red another? A reversible wrestling singlet from Suplay of course. With selections from Matman, Cliff Keen, and adidas, we have a number of singlets to suit your needs."
"1624079703-610","https://www.suplay.com/","Compression Gear","https://www.suplay.com/collections/wrestling-compression-gear","Wrestling Compression Gear","If you like a tight gfit, then our range of compression shirts and tights is perfect for your training needs. With brands such as Cliff Keen, Under Amour, Matman and Adidas, Suplay has you tightly covered."
"1624079737-623","https://www.suplay.com/","Headgear","https://www.suplay.com/collections/wrestling-headgear","Wrestling Headgear","Unless you like the look of cauliflower ear, wrestling headgear is an essential piece of gear to keep your ears looking normal. Suplay carries a wide selection of protective headgear & accessories from Cliff Keen, Asics, Matman, & Morgan for youth and adults to match your singlet and keep you safe. For folkstyle wrestlers, headgear is mandatory so it's best to find the right fit that will provide protection and fit comfortably for training and competition.



 
Cliff Keen Headgear




 
 Matman Headgear




 
Asics Headgear





Adidas Headgear"
"1624079684-603","https://www.suplay.com/","Caps and Hats","https://www.suplay.com/collections/wrestling-caps-and-hats","Wrestling Caps and Hats","When keeping warm and looking good between matches is a priority, wrestling hats and beanies will have you covered. Find great deals on your wrestling needs at Suplay."
"1624079700-609","https://www.suplay.com/","Tights, Shorts and Briefs","https://www.suplay.com/collections/wrestling-tights-shorts-and-briefs","Wrestling Tights, Shorts, and Briefs","If singlets aren't your style or if you prefer something to wear in between matches, then you might just fancy a pair of wrestling tights. Choose tights from Matman, Cliff Keen and Brute."
"1624079682-602","https://www.suplay.com/","Training","https://www.suplay.com/collections/wrestling-training-and-accessories","Wrestling Training and Accessories","From bags and backpacks, to posters, awards, first aid, mouthguards and wrestling dummies, Suplay carriers a wide selection of training gear for wrestlers of all sizes."
"1624079726-619","https://www.suplay.com/","Youth Knee Pads","https://www.suplay.com/collections/youth-knee-pads","Youth Knee Pads","Whether you need a little extra protection or just like the way they wrap around your knee, Suplay carries a range of youth kneepad sizes from extra small to extra large. And if your grappler is a little ahead above her classmates then a small or large adult wrestling kneepad might be a better choice. Just take some measurements and compare them with the available sizing charts."
"1624079765-631","https://www.suplay.com/","Wrestling Shoes","https://www.suplay.com/collections/wrestling-shoes","Wrestling Shoes","If you're serious about wrestling you'll need a great pair of wrestling shoes to help you dominate the mat. Suplay carries a wide range of shoes from top brands for youth & kids, adults, women and a range of clearance shoes. If you're new to wrestling, feel free to read our Wrestling Shoe Size Guide to help you find the right shoes for your wrestler.
Our Top-Selling Brands
Know what you want? Shop for wrestling shoes from Asics, Adidas, and Matman including our fan-favorite Asics JB Elites and Adidas Adizero Varner."
"1624079763-630","https://www.suplay.com/","Singlets","https://www.suplay.com/collections/wrestling-singlets","Wrestling Singlets","Whether you like to look good on the mat or wear them because you're not ready to wrestle in the buff, Suplay has an extensive range of standard and reversible Wrestling Singlets for all styles and shapes to fit your specific needs:


Folkstyle singlets
Freestyle singlets
Reversible singlets
Women's singlets
Custom sublimated singlets
Infant & toddlers singlets
Large singlets
Clearance singlets

Our top selling brands
Know what you want? Shop for wrestling singlets from Cliff Keen, Brute, Asics, Adidas, Matman or Clinch Gear. If you're new to wrestling or just can't find the right wrestling singlet, feel free to call one of our friendly support staff on 1-800-634-4874 for assistance.



 
 Matman Singlets 




 
Asics Singlets 





Adidas Singlets 




 
Cliff Keen Singlets









."
"1624079749-627","https://www.suplay.com/","Womens","https://www.suplay.com/collections/womens-wrestling-singlets","Womens Wrestling Singlets","Finding the right wrestling singlet to meet your needs has never been easier. Suplay carries a full range of women's singlets for youth and adult from Matman, Cliff Keen and Asics."
